#STRAIN	AVG_COVERAGE
A10.L4C	117.30
A11.L11G	151.64
A12.L10B	105.15
A13.L3B	137.36
A14.L4E	130.91
A15.L4G	130.45
A16.L7C	111.23
A17.L1B	92.44
A18.S4H	120.88
A19.S3B	215.61
A2.U10A	138.19
A20.S1E	112.60
A21.S8A	135.78
A22.UpperP	266.96
A23.LowerP	392.89
A24.SputuP	108.83
A3.U3G	95.90
A4.U3B	109.77
A5.U10D	101.73
A6.U5C	510.83
A7.U3E	164.18
A8.U2E	153.35
A9.L3D	118.37
ATCC42720	157.33
B16.1310D	336.84
B17.1311G	352.91
B18.1312G	373.90
B19.1310A	360.65
B20.1311A	313.91
B21.1312A	310.54
B22.134E	310.85
B23.133H	322.43
B24.133F	324.60
B25.135C	284.34
B26.131A	334.11
B27.136A	330.79
B28.13UM	246.39
B29.13MM	266.34
C10.9M3	261.64
C11.9M41	290.15
C12.9U1	349.58
C13.9U2	353.98
C14.9U3	383.97
C15.9U4s	343.76
C30.13LM	328.52
C31.13MP	371.64
C4.9L1	281.17
C5.9L2	324.38
C6.9L3	350.80
C7.9L4	297.86
C8.9M1	322.73
C9.9M2	279.16
ctl1.AL1B	314.60
ctl2.AL1B	310.16
ctl3.C9L1	300.90
